# bin_center_x bin_center_y count mean_dx mean_dy mean_dz uu vv ww uv uw vw
-0.500000 0.500000 1113 -1.010064 0.498817 0.699788 0.009725 0.002491 0.004889 -0.000026 0.000064 -0.000059
-0.500000 1.500000 1528 -1.008392 0.500593 0.700562 0.009640 0.002612 0.004515 0.000034 -0.000009 0.000029
-0.500000 2.500000 1706 -1.010827 0.502517 0.700003 0.009834 0.002366 0.004803 0.000028 0.000009 -0.000033
-0.500000 3.500000 1559 -1.011628 0.499088 0.702439 0.009517 0.002504 0.005036 -0.000088 -0.000301 -0.000017
-0.500000 4.500000 1594 -1.008911 0.502859 0.703786 0.009646 0.002378 0.004859 0.000023 -0.000292 0.000007
-0.500000 5.500000 1554 -1.014391 0.500636 0.702315 0.009458 0.002593 0.005008 0.000289 -0.000056 -0.000067
-0.500000 6.500000 1499 -1.009749 0.501382 0.696875 0.009730 0.002336 0.005111 0.000104 0.000270 -0.000179
-0.500000 7.500000 1540 -1.008051 0.498211 0.699908 0.010313 0.002431 0.004760 -0.000160 0.000036 0.000056
-0.500000 8.500000 1633 -1.007841 0.498531 0.698612 0.010013 0.002560 0.004634 0.000003 0.000008 0.000012
-0.500000 9.500000 1527 -1.009531 0.501413 0.700377 0.009984 0.002530 0.004980 0.000119 0.000118 0.000024
-0.500000 10.500000 1549 -1.005003 0.499583 0.697988 0.010121 0.002498 0.005182 0.000273 0.000012 0.000053
-0.500000 11.500000 1519 -1.007059 0.499906 0.698466 0.009758 0.002484 0.005310 0.000190 0.000065 0.000012
-0.500000 12.500000 1559 -1.010841 0.499364 0.699759 0.010008 0.002520 0.004887 0.000082 0.000169 0.000110
-0.500000 13.500000 1612 -1.007891 0.498887 0.703052 0.009635 0.002411 0.004856 0.000009 -0.000115 0.000004
-0.500000 14.500000 1575 -1.012534 0.499237 0.698766 0.009465 0.002462 0.004891 -0.000110 -0.000074 0.000075
-0.500000 15.500000 1545 -1.008198 0.497516 0.699148 0.009726 0.002395 0.005274 -0.000197 0.000063 0.000009
-0.500000 16.500000 1570 -1.009248 0.501260 0.697820 0.009871 0.002564 0.004816 -0.000011 0.000183 -0.000064
-0.500000 17.500000 1552 -1.011006 0.499541 0.699750 0.009841 0.002489 0.004723 0.000321 0.000065 0.000007
-0.500000 18.500000 1573 -1.007499 0.499978 0.701212 0.010087 0.002412 0.004754 0.000010 0.000198 -0.000069
-0.500000 19.500000 1581 -1.010139 0.501839 0.698557 0.010271 0.002438 0.004625 -0.000058 -0.000089 0.000012
-0.500000 20.500000 1491 -1.014818 0.498743 0.696243 0.010061 0.002621 0.004897 -0.000152 0.000036 -0.000050
-0.500000 21.500000 1562 -1.006856 0.501365 0.699625 0.009637 0.002418 0.004600 0.000123 0.000191 0.000029
-0.500000 22.500000 1620 -1.008682 0.500325 0.699754 0.009812 0.002509 0.005113 -0.000004 -0.000120 -0.000114
-0.500000 23.500000 1573 -1.009031 0.500825 0.700545 0.010053 0.002544 0.005065 0.000069 0.000041 -0.000073
-0.500000 24.500000 1462 -1.012999 0.498098 0.698358 0.009557 0.002525 0.005026 0.000083 -0.000199 -0.000013
-0.500000 25.500000 1576 -1.011218 0.498933 0.700844 0.009902 0.002357 0.004787 -0.000160 0.000362 0.000020
-0.500000 26.500000 1604 -1.010745 0.498362 0.697223 0.009842 0.002410 0.004836 -0.000246 0.000025 0.000036
-0.500000 27.500000 1603 -1.010950 0.499216 0.700111 0.010257 0.002534 0.004810 -0.000108 0.000204 -0.000100
-0.500000 28.500000 1626 -1.009682 0.500314 0.699851 0.009660 0.002395 0.004951 -0.000090 0.000070 -0.000107
-0.500000 29.500000 1531 -1.011319 0.499203 0.698219 0.009863 0.002517 0.004749 -0.000169 0.000196 -0.000041
-0.500000 30.500000 1523 -1.012513 0.499086 0.700129 0.009727 0.002521 0.004656 -0.000052 -0.000077 0.000042
-0.500000 31.500000 1543 -1.010230 0.499984 0.698893 0.009749 0.002600 0.004630 -0.000025 0.000068 0.000043
-0.500000 32.500000 1620 -1.010165 0.501368 0.699751 0.009859 0.002472 0.004743 0.000101 -0.000203 0.000094
-0.500000 33.500000 1547 -1.009779 0.501341 0.700138 0.010126 0.002503 0.004896 0.000008 -0.000103 -0.000018
-0.500000 34.500000 1551 -1.008622 0.498046 0.697434 0.009781 0.002513 0.004983 0.000039 -0.000233 0.000005
-0.500000 35.500000 1520 -1.005182 0.499572 0.696640 0.009661 0.002526 0.005093 0.000043 -0.000026 0.000032
-0.500000 36.500000 1587 -1.009986 0.499215 0.699123 0.010154 0.002419 0.004774 -0.000048 -0.000032 0.000230
-0.500000 37.500000 1550 -1.010723 0.500472 0.697318 0.009851 0.002461 0.004532 -0.000052 -0.000307 -0.000066
-0.500000 38.500000 1554 -1.009378 0.502694 0.699717 0.009610 0.002513 0.004877 0.000001 -0.000107 -0.000083
-0.500000 39.500000 1595 -1.009799 0.499130 0.702725 0.009571 0.002487 0.004852 -0.000230 -0.000003 -0.000108
-0.500000 40.500000 1548 -1.006738 0.500977 0.702141 0.009825 0.002438 0.004874 0.000044 0.000244 0.000031
-0.500000 41.500000 1634 -1.009945 0.499472 0.700054 0.009763 0.002541 0.004794 0.000263 0.000441 -0.000013
-0.500000 42.500000 1572 -1.008565 0.500142 0.698373 0.010319 0.002495 0.005231 -0.000027 0.000064 -0.000041
-0.500000 43.500000 1653 -1.012720 0.498595 0.700526 0.009611 0.002310 0.004752 -0.000153 0.000139 -0.000048
-0.500000 44.500000 1574 -1.014515 0.499592 0.699748 0.010048 0.002550 0.004895 0.000017 -0.000299 0.000091
-0.500000 45.500000 1518 -1.008495 0.502394 0.699063 0.009891 0.002511 0.004721 -0.000105 0.000088 -0.000019
-0.500000 46.500000 1635 -1.011732 0.500478 0.701248 0.009739 0.002401 0.004840 -0.000065 -0.000176 0.000011
-0.500000 47.500000 1621 -1.013679 0.502255 0.700572 0.009987 0.002512 0.004885 0.000004 0.000055 0.000096
-0.500000 48.500000 1554 -1.010506 0.501257 0.700264 0.010235 0.002554 0.005014 -0.000064 -0.000246 -0.000121
-0.500000 49.500000 1535 -1.015649 0.499062 0.698690 0.009665 0.002684 0.005185 0.000009 -0.000136 0.000200
-0.500000 50.500000 426 -1.009566 0.507745 0.699085 0.010337 0.002279 0.004735 0.000598 0.000356 0.000281
0.500000 0.500000 2353 -0.998237 0.498432 0.697639 0.010046 0.002450 0.004882 0.000024 -0.000004 -0.000113
0.500000 1.500000 3099 -1.000571 0.499998 0.698465 0.010088 0.002574 0.004918 -0.000031 0.000182 -0.000029
0.500000 2.500000 3152 -0.998943 0.500842 0.701709 0.010031 0.002505 0.005067 -0.000046 -0.000001 0.000060
0.500000 3.500000 3059 -0.999661 0.499519 0.700752 0.009701 0.002564 0.004950 -0.000084 0.000068 0.000012
